herkunft,geschlecht,name,preis,zimmer,flaeche,stadt,einladung
türkisch,weiblich,Aylin Demirci,550,1,30,münchen,TRUE
polnisch,weiblich,Milena Adamowicz,550,1,30,münchen,TRUE
türkisch,weiblich,Aylin Demirci,399,2,38.52,nürnberg,TRUE
italienisch,männlich,Stefano Loguercio,530,1.5,39.6,münchen,TRUE
deutsch,männlich,Daniel Buschle,245.65,1,33.65,dresden,TRUE
deutsch,weiblich,Nina Weiss,414,2,53.78,köln,TRUE
italienisch,männlich,Stefano Loguercio,480,1.5,47,berlin,TRUE
deutsch,männlich,Carsten Meier,855,1,39,münchen,TRUE
italienisch,männlich,Stefano Loguercio,544,1,54.07,frankfurt,TRUE
polnisch,männlich,Mikolaj Janowski,445,1,36,frankfurt,TRUE
türkisch,männlich,Haimt Yilmaz,420,1,46.23,berlin,TRUE
italienisch,männlich,Stefano Loguercio,445,1,36,frankfurt,TRUE
deutsch,männlich,Carsten Meier,289,2,42.15,leipzig,TRUE
deutsch,männlich,Stephan Braun,420,1,46.23,berlin,TRUE
arabisch,männlich,Ismail Hamed,321,2,49.35,dresden,TRUE
deutsch,männlich,Daniel Buschle,321,2,49.35,dresden,TRUE
arabisch,weiblich,Maryam Abedini,234,2,41.3,dortmund,TRUE
polnisch,weiblich,Milena Adamowicz,234,2,41.3,dortmund,TRUE
deutsch,weiblich,Hanna Berg,234,2,41.3,dortmund,TRUE
türkisch,männlich,Haimt Yilmaz,369,2,51.95,nürnberg,TRUE
italienisch,weiblich,Vittoria di Lauro,480,1,33,nürnberg,TRUE
deutsch,weiblich,Hanna Berg,480,1,33,nürnberg,TRUE
deutsch,männlich,Stephan Braun,540,1.5,42,nürnberg,TRUE
italienisch,weiblich,Vittoria di Lauro,239,2,39.8,leipzig,TRUE
deutsch,weiblich,Hanna Berg,239,2,39.8,leipzig,TRUE
türkisch,weiblich,Aylin Demirci,239,2,39.8,leipzig,TRUE
deutsch,weiblich,Hanna Berg,450,2,45,köln,TRUE
türkisch,männlich,Haimt Yilmaz,870,2,57.36,münchen,FALSE
polnisch,männlich,Mikolaj Janowski,870,2,57.36,münchen,FALSE
türkisch,weiblich,Aylin Demirci,590,3,55,köln,TRUE
italienisch,weiblich,Vittoria di Lauro,590,3,55,köln,TRUE
deutsch,weiblich,Hanna Berg,345.05,2,51,berlin,TRUE
deutsch,weiblich,Nina Weiss,590,3,55,köln,FALSE
deutsch,weiblich,Nina Weiss,590,3,55,köln,TRUE
deutsch,männlich,Stephan Braun,590,2,47,münchen,TRUE
deutsch,weiblich,Hanna Berg,340,2,47.95,dresden,TRUE
arabisch,weiblich,Maryam Abedini,340,2,47.95,dresden,TRUE
arabisch,männlich,Ismail Hamed,328,2,54,magdeburg,TRUE
polnisch,männlich,Mikolaj Janowski,328,2,54,magdeburg,TRUE
deutsch,männlich,Stephan Braun,328,2,54,magdeburg,TRUE
deutsch,weiblich,Nina Weiss,800,1,31,münchen,TRUE
deutsch,weiblich,Hanna Berg,550,2,40,hamburg,FALSE
türkisch,weiblich,Aylin Demirci,800,1,31,münchen,TRUE
italienisch,weiblich,Vittoria di Lauro,550,2,40,hamburg,FALSE
arabisch,weiblich,Maryam Abedini,550,2,40,hamburg,FALSE
deutsch,männlich,Stephan Braun,410,2,52,hamburg,TRUE
deutsch,männlich,Carsten Meier,630,2,59,frankfurt,TRUE
deutsch,männlich,Daniel Buschle,425,2,53,köln,TRUE
polnisch,männlich,Mikolaj Janowski,425,2,53,köln,TRUE
deutsch,männlich,Stephan Braun,649,2,40,hamburg,TRUE
türkisch,weiblich,Aylin Demirci,245,2,40,dortmund,FALSE
türkisch,männlich,Haimt Yilmaz,429,2,46.51,hamburg,TRUE
arabisch,männlich,Ismail Hamed,429,2,46.51,hamburg,TRUE
arabisch,männlich,Ismail Hamed,370.62,2,51.12,dresden,TRUE
türkisch,männlich,Haimt Yilmaz,370.62,2,51.12,dresden,TRUE
deutsch,männlich,Stephan Braun,370.62,2,51.12,dresden,TRUE
deutsch,weiblich,Nina Weiss,370.62,2,51.12,dresden,TRUE
polnisch,weiblich,Milena Adamowicz,370.62,2,51.12,dresden,TRUE
arabisch,weiblich,Maryam Abedini,370.62,2,51.12,dresden,TRUE
deutsch,weiblich,Hanna Berg,503.95,1,33.5,münchen,TRUE
deutsch,männlich,Stephan Braun,429,2,46.51,hamburg,TRUE
deutsch,männlich,Stephan Braun,364,1,34.4,berlin,TRUE
deutsch,männlich,Stephan Braun,284,3,51.64,leipzig,TRUE
italienisch,männlich,Stefano Loguercio,284,3,51.64,leipzig,TRUE
italienisch,weiblich,Vittoria di Lauro,414,2,53.78,köln,TRUE
arabisch,weiblich,Maryam Abedini,414,2,53.78,köln,TRUE
polnisch,weiblich,Milena Adamowicz,238,1,41,dortmund,TRUE
polnisch,weiblich,Milena Adamowicz,495,2,53.45,berlin,TRUE
deutsch,weiblich,Nina Weiss,238,1,41,dortmund,TRUE
türkisch,weiblich,Aylin Demirci,238,1,41,dortmund,TRUE
polnisch,weiblich,Milena Adamowicz,289,2,48.24,magdeburg,TRUE
deutsch,weiblich,Hanna Berg,289,2,48.24,magdeburg,TRUE
deutsch,weiblich,Nina Weiss,679,2,53.51,frankfurt,TRUE
italienisch,weiblich,Vittoria di Lauro,495,2,53.45,berlin,TRUE
deutsch,männlich,Stephan Braun,409.45,2,48.17,berlin,TRUE
italienisch,männlich,Stefano Loguercio,409.45,2,48.17,berlin,TRUE
polnisch,männlich,Mikolaj Janowski,409.45,2,48.17,berlin,TRUE
deutsch,weiblich,Hanna Berg,815,2,51,münchen,TRUE
deutsch,weiblich,Hanna Berg,850,2,50,münchen,FALSE
türkisch,weiblich,Aylin Demirci,850,2,50,münchen,FALSE
arabisch,weiblich,Maryam Abedini,850,2,50,münchen,FALSE
deutsch,männlich,Stephan Braun,343.61,2,46.75,dresden,TRUE
arabisch,männlich,Ismail Hamed,580,2,42,hamburg,TRUE
polnisch,männlich,Mikolaj Janowski,580,2,42,hamburg,TRUE
polnisch,männlich,Mikolaj Janowski,480,1.5,47,berlin,TRUE
italienisch,männlich,Stefano Loguercio,480,1,35,köln,TRUE
polnisch,männlich,Mikolaj Janowski,480,1,35,köln,TRUE
deutsch,männlich,Daniel Buschle,480,1,35,köln,TRUE
türkisch,weiblich,Aylin Demirci,679,2,53.51,frankfurt,TRUE
türkisch,männlich,Haimt Yilmaz,342.03,2,49.83,berlin,TRUE
türkisch,weiblich,Aylin Demirci,408.03,3,59.48,berlin,TRUE
arabisch,männlich,Ismail Hamed,342.03,2,49.83,berlin,TRUE
italienisch,weiblich,Vittoria di Lauro,408.03,3,59.48,berlin,TRUE
deutsch,weiblich,Nina Weiss,495,2,53.45,berlin,TRUE
deutsch,weiblich,Nina Weiss,408.03,3,59.48,berlin,TRUE
türkisch,männlich,Haimt Yilmaz,507.86,2.5,55,hamburg,TRUE
italienisch,männlich,Stefano Loguercio,429,2,51.29,berlin,TRUE
türkisch,männlich,Haimt Yilmaz,429,2,51.29,berlin,TRUE
deutsch,männlich,Stephan Braun,429,2,51.29,berlin,TRUE
deutsch,männlich,Stephan Braun,480,1.5,47,berlin,TRUE
deutsch,weiblich,Nina Weiss,360,2,40,dortmund,TRUE
türkisch,weiblich,Aylin Demirci,420.71,2,59.59,berlin,TRUE
türkisch,weiblich,Aylin Demirci,360,2,40,dortmund,TRUE
deutsch,männlich,Stephan Braun,364,1,34.4,berlin,TRUE
italienisch,männlich,Stefano Loguercio,364,1,34.4,berlin,TRUE
polnisch,männlich,Mikolaj Janowski,364,1,34.4,berlin,TRUE
deutsch,weiblich,Hanna Berg,252,1,36,leipzig,TRUE
deutsch,männlich,Daniel Buschle,430,2,59.5,berlin,TRUE
polnisch,weiblich,Milena Adamowicz,329,2,47,leipzig,TRUE
deutsch,weiblich,Nina Weiss,329,2,47,leipzig,TRUE
deutsch,männlich,Daniel Buschle,275,2,42,dortmund,TRUE
polnisch,weiblich,Milena Adamowicz,350,2,48,berlin,TRUE
italienisch,männlich,Stefano Loguercio,430,2,59.5,berlin,TRUE
polnisch,männlich,Mikolaj Janowski,245.65,1,33.65,dresden,TRUE
türkisch,weiblich,Aylin Demirci,268.83,2,46.35,magdeburg,TRUE
deutsch,weiblich,Nina Weiss,268.83,2,46.35,magdeburg,TRUE
italienisch,weiblich,Vittoria di Lauro,268.83,2,46.35,magdeburg,TRUE
deutsch,männlich,Stephan Braun,350,1,40,leipzig,TRUE
deutsch,männlich,Lovis Kuhn,222,1,44.55,leipzig,FALSE
deutsch,männlich,Stephan Braun,222,1,44.55,leipzig,FALSE
deutsch,männlich,Carsten Meier,222,1,44.55,leipzig,FALSE
türkisch,weiblich,Aylin Demirci,503.95,1,33.5,münchen,FALSE
deutsch,weiblich,Hanna Berg,418.85,2,58.91,berlin,TRUE
deutsch,männlich,Daniel Buschle,443.06,3,56.73,berlin,TRUE
polnisch,weiblich,Milena Adamowicz,418.85,2,58.91,berlin,TRUE
türkisch,männlich,Haimt Yilmaz,233.74,2,51.1,dortmund,TRUE
italienisch,männlich,Stefano Loguercio,343.61,2,46.75,dresden,TRUE
polnisch,männlich,Mikolaj Janowski,453,2,54.78,berlin,TRUE
italienisch,männlich,Stefano Loguercio,453,2,54.78,berlin,TRUE
deutsch,männlich,Stephan Braun,600,2,50,frankfurt,TRUE
italienisch,männlich,Stefano Loguercio,233.74,2,51.1,dortmund,TRUE
türkisch,weiblich,Aylin Demirci,650,2,55,münchen,FALSE
türkisch,weiblich,Aylin Demirci,320,1,40,köln,FALSE
arabisch,männlich,Ismail Hamed,453.79,2,58.7,hamburg,TRUE
deutsch,männlich,Daniel Buschle,233.74,2,51.1,dortmund,TRUE
deutsch,männlich,Stephan Braun,600,2,56.5,köln,FALSE
deutsch,männlich,Lovis Kuhn,600,2,56.5,köln,FALSE
italienisch,männlich,Stefano Loguercio,600,2,56.5,köln,FALSE
türkisch,männlich,Haimt Yilmaz,600,2,56.5,köln,FALSE
deutsch,männlich,Carsten Meier,600,2,56.5,köln,FALSE
türkisch,weiblich,Aylin Demirci,345.05,2,51,berlin,TRUE
deutsch,weiblich,Hanna Berg,550,1,34,frankfurt,TRUE
arabisch,weiblich,Maryam Abedini,550,1,34,frankfurt,TRUE
italienisch,weiblich,Vittoria di Lauro,550,1,34,frankfurt,TRUE
polnisch,männlich,Mikolaj Janowski,335,1,34,nürnberg,TRUE
deutsch,männlich,Lovis Kuhn,500,1,43,köln,FALSE
arabisch,männlich,Ismail Hamed,500,1,43,köln,FALSE
polnisch,männlich,Mikolaj Janowski,500,1,43,köln,FALSE
türkisch,weiblich,Aylin Demirci,350,1,33,berlin,TRUE
arabisch,weiblich,Maryam Abedini,350,1,33,berlin,TRUE
deutsch,männlich,Carsten Meier,430,2,52,nürnberg,TRUE
italienisch,männlich,Stefano Loguercio,430,2,52,nürnberg,TRUE
türkisch,weiblich,Aylin Demirci,168.1,1,41,dortmund,FALSE
deutsch,weiblich,Nina Weiss,168.1,1,41,dortmund,FALSE
arabisch,männlich,Ismail Hamed,380,2,40,nürnberg,TRUE
deutsch,männlich,Daniel Buschle,380,2,40,nürnberg,TRUE
polnisch,weiblich,Milena Adamowicz,440,1,32,berlin,TRUE
arabisch,weiblich,Maryam Abedini,440,1,32,berlin,FALSE
deutsch,männlich,Stephan Braun,214.38,2,47.43,leipzig,TRUE
deutsch,weiblich,Hanna Berg,440,1,32,berlin,TRUE
deutsch,weiblich,Hanna Berg,440,1,32,berlin,FALSE
polnisch,weiblich,Milena Adamowicz,550,2,48,köln,TRUE
deutsch,weiblich,Nina Weiss,550,2,48,köln,TRUE
arabisch,weiblich,Maryam Abedini,550,2,48,köln,TRUE
deutsch,weiblich,Hanna Berg,825,1,33,münchen,TRUE
italienisch,männlich,Stefano Loguercio,250,2,50,dortmund,TRUE
deutsch,weiblich,Nina Weiss,275,2,49.19,leipzig,FALSE
polnisch,männlich,Mikolaj Janowski,250,2,50,dortmund,TRUE
deutsch,männlich,Daniel Buschle,250,2,50,dortmund,TRUE
polnisch,männlich,Mikolaj Janowski,380,2,40,nürnberg,TRUE
deutsch,weiblich,Nina Weiss,590,3,55,köln,FALSE
polnisch,männlich,Mikolaj Janowski,178.26,1,32.61,leipzig,FALSE
deutsch,weiblich,Nina Weiss,530,2,57,hamburg,FALSE
italienisch,weiblich,Vittoria di Lauro,590,3,55,köln,FALSE
türkisch,weiblich,Aylin Demirci,590,3,55,köln,TRUE
deutsch,männlich,Stephan Braun,505,2.5,57.27,hamburg,TRUE
italienisch,männlich,Stefano Loguercio,700,2,40,frankfurt,TRUE
deutsch,männlich,Stephan Braun,178.26,1,32.61,leipzig,TRUE
deutsch,männlich,Daniel Buschle,700,2,40,frankfurt,TRUE
türkisch,männlich,Haimt Yilmaz,178.26,1,32.61,leipzig,FALSE
polnisch,männlich,Mikolaj Janowski,270,2,41.4,dresden,TRUE
deutsch,männlich,Stephan Braun,534.5,2,59.06,hamburg,TRUE
italienisch,männlich,Stefano Loguercio,270,2,41.4,dresden,TRUE
italienisch,männlich,Stefano Loguercio,310,1,42,berlin,TRUE
deutsch,männlich,Stephan Braun,270,2,41.4,dresden,TRUE
italienisch,weiblich,Vittoria di Lauro,650,2,55,frankfurt,TRUE
deutsch,weiblich,Hanna Berg,650,2,55,frankfurt,TRUE
türkisch,männlich,Haimt Yilmaz,745,1,38.41,münchen,TRUE
arabisch,männlich,Ismail Hamed,295,2,45,magdeburg,TRUE
italienisch,männlich,Stefano Loguercio,590,2,60,köln,TRUE
deutsch,männlich,Daniel Buschle,590,2,60,köln,TRUE
deutsch,männlich,Carsten Meier,590,2,60,köln,TRUE
italienisch,männlich,Stefano Loguercio,295,2,45,magdeburg,TRUE
deutsch,männlich,Stephan Braun,295,2,45,magdeburg,TRUE
polnisch,männlich,Mikolaj Janowski,590,2,60,köln,TRUE
deutsch,weiblich,Hanna Berg,349.3,2,49.9,dresden,TRUE
türkisch,weiblich,Aylin Demirci,332.64,1,33,hamburg,TRUE
deutsch,weiblich,Hanna Berg,350,2,48,berlin,TRUE
polnisch,männlich,Mikolaj Janowski,534.5,2,59.06,hamburg,TRUE
türkisch,männlich,Haimt Yilmaz,534.5,2,59.06,hamburg,TRUE
deutsch,männlich,Daniel Buschle,620,1,34,münchen,TRUE
polnisch,männlich,Mikolaj Janowski,544,1,54.07,frankfurt,FALSE
deutsch,männlich,Daniel Buschle,544,1,54.07,frankfurt,FALSE
deutsch,weiblich,Nina Weiss,463.78,1,33.27,köln,TRUE
italienisch,weiblich,Vittoria di Lauro,463.78,1,33.27,köln,TRUE
arabisch,weiblich,Maryam Abedini,463.78,1,33.27,köln,TRUE
polnisch,weiblich,Milena Adamowicz,650,2,55,frankfurt,TRUE
deutsch,weiblich,Nina Weiss,350,2,45,magdeburg,TRUE
polnisch,weiblich,Milena Adamowicz,350,2,45,magdeburg,TRUE
türkisch,weiblich,Aylin Demirci,350,2,45,magdeburg,TRUE
deutsch,weiblich,Nina Weiss,475,1,45,köln,TRUE
italienisch,weiblich,Vittoria di Lauro,475,1,45,köln,TRUE
deutsch,männlich,Stephan Braun,263,2,47,leipzig,TRUE
deutsch,weiblich,Hanna Berg,300,2,55,dresden,TRUE
polnisch,weiblich,Milena Adamowicz,300,2,55,dresden,TRUE
türkisch,weiblich,Aylin Demirci,770,1.5,42.22,münchen,TRUE
türkisch,weiblich,Aylin Demirci,300,2,55,dresden,TRUE
deutsch,weiblich,Nina Weiss,350,1,38,frankfurt,TRUE
türkisch,weiblich,Aylin Demirci,350,1,38,frankfurt,TRUE
deutsch,weiblich,Hanna Berg,770,1.5,42.22,münchen,TRUE
polnisch,männlich,Mikolaj Janowski,405,1.5,45,köln,TRUE
deutsch,männlich,Stephan Braun,289,2,42.15,leipzig,TRUE
polnisch,weiblich,Milena Adamowicz,350,2.5,50,dortmund,TRUE
deutsch,männlich,Lovis Kuhn,289,2,42.15,leipzig,TRUE
italienisch,weiblich,Vittoria di Lauro,418.85,2,58.91,berlin,FALSE
italienisch,weiblich,Vittoria di Lauro,800,1,33,münchen,TRUE
polnisch,männlich,Mikolaj Janowski,443.06,3,56.73,berlin,FALSE
deutsch,weiblich,Hanna Berg,399,2,38.52,nürnberg,TRUE
polnisch,weiblich,Milena Adamowicz,349.3,2,49.9,dresden,TRUE
italienisch,weiblich,Vittoria di Lauro,349.3,2,49.9,dresden,TRUE
türkisch,weiblich,Aylin Demirci,150,1,33,leipzig,TRUE
deutsch,weiblich,Nina Weiss,150,1,33,leipzig,TRUE
polnisch,weiblich,Milena Adamowicz,150,1,33,leipzig,TRUE
polnisch,weiblich,Milena Adamowicz,541,2,47,köln,FALSE
arabisch,männlich,Ismail Hamed,500,1,30,frankfurt,TRUE
türkisch,weiblich,Aylin Demirci,470,1,35,nürnberg,TRUE
deutsch,männlich,Stephan Braun,500,1,37,nürnberg,TRUE
polnisch,männlich,Mikolaj Janowski,500,1,37,nürnberg,TRUE
deutsch,weiblich,Nina Weiss,470,1,35,nürnberg,TRUE
deutsch,männlich,Stephan Braun,584,3,60,frankfurt,TRUE
polnisch,weiblich,Milena Adamowicz,470,1,35,nürnberg,TRUE
deutsch,weiblich,Hanna Berg,510,2,51,köln,TRUE
polnisch,weiblich,Milena Adamowicz,510,2,51,köln,TRUE
polnisch,männlich,Mikolaj Janowski,500,1,30,frankfurt,TRUE
deutsch,männlich,Lovis Kuhn,330,1,30,frankfurt,TRUE
deutsch,männlich,Stephan Braun,500,1,30,frankfurt,TRUE
türkisch,männlich,Haimt Yilmaz,460,2,55,berlin,FALSE
polnisch,männlich,Mikolaj Janowski,335,1,34,nürnberg,TRUE
türkisch,weiblich,Aylin Demirci,500,1.5,48,hamburg,TRUE
arabisch,weiblich,Maryam Abedini,500,1.5,48,hamburg,TRUE
deutsch,weiblich,Hanna Berg,500,1.5,48,hamburg,TRUE
italienisch,weiblich,Vittoria di Lauro,540,2,46.54,münchen,TRUE
deutsch,weiblich,Hanna Berg,540,2,46.54,münchen,TRUE
türkisch,weiblich,Aylin Demirci,540,2,46.54,münchen,TRUE
deutsch,männlich,Daniel Buschle,309,2,52.76,dortmund,TRUE
deutsch,männlich,Carsten Meier,309,2,52.76,dortmund,TRUE
deutsch,männlich,Stephan Braun,558,2,54.3,hamburg,TRUE
deutsch,männlich,Carsten Meier,488,1,38.1,nürnberg,TRUE
polnisch,männlich,Mikolaj Janowski,488,1,38.1,nürnberg,TRUE
arabisch,männlich,Ismail Hamed,309,2,52.76,dortmund,TRUE
deutsch,männlich,Lovis Kuhn,309,2,52.76,dortmund,TRUE
türkisch,männlich,Haimt Yilmaz,558,2,54.3,hamburg,TRUE
polnisch,männlich,Mikolaj Janowski,309,2,52.76,dortmund,TRUE
türkisch,männlich,Haimt Yilmaz,464,2,54.57,hamburg,TRUE
italienisch,männlich,Stefano Loguercio,558,2,54.3,hamburg,TRUE
deutsch,männlich,Lovis Kuhn,173,1,31.45,magdeburg,TRUE
türkisch,männlich,Haimt Yilmaz,410,1,35,köln,TRUE
deutsch,männlich,Stephan Braun,410,1,35,köln,TRUE
polnisch,männlich,Mikolaj Janowski,410,1,35,köln,TRUE
deutsch,weiblich,Hanna Berg,360,1.5,30.02,münchen,TRUE
italienisch,männlich,Stefano Loguercio,428.53,1.5,43,berlin,TRUE
polnisch,männlich,Mikolaj Janowski,428.53,1.5,43,berlin,TRUE
deutsch,männlich,Stephan Braun,428.53,1.5,43,berlin,TRUE
deutsch,weiblich,Hanna Berg,280,1,45.68,leipzig,TRUE
italienisch,männlich,Stefano Loguercio,500,1,37,nürnberg,TRUE
deutsch,weiblich,Hanna Berg,275,2,54,magdeburg,TRUE
deutsch,weiblich,Hanna Berg,275,2,54,magdeburg,TRUE
deutsch,männlich,Daniel Buschle,180,1,33.83,dresden,TRUE
deutsch,weiblich,Hanna Berg,525,2,38.73,frankfurt,TRUE
polnisch,weiblich,Milena Adamowicz,525,2,38.73,frankfurt,TRUE
polnisch,weiblich,Milena Adamowicz,400,3,59.7,hamburg,TRUE
deutsch,männlich,Lovis Kuhn,309.18,2,51.53,dresden,TRUE
polnisch,weiblich,Milena Adamowicz,280,1,45.68,leipzig,TRUE
türkisch,männlich,Haimt Yilmaz,360,2,60,leipzig,TRUE
deutsch,männlich,Daniel Buschle,360,2,60,leipzig,TRUE
arabisch,männlich,Ismail Hamed,360,2,60,leipzig,TRUE
italienisch,männlich,Stefano Loguercio,520,2,53.6,nürnberg,TRUE
deutsch,männlich,Stephan Braun,520,2,53.6,nürnberg,TRUE
türkisch,männlich,Haimt Yilmaz,520,2,53.6,nürnberg,TRUE
türkisch,männlich,Haimt Yilmaz,355,2,54.35,dresden,TRUE
italienisch,männlich,Stefano Loguercio,355,2,54.35,dresden,TRUE
deutsch,männlich,Daniel Buschle,355,2,54.35,dresden,TRUE
deutsch,weiblich,Hanna Berg,419,2,47.88,berlin,TRUE
deutsch,männlich,Daniel Buschle,377.09,2,58.92,leipzig,FALSE
türkisch,männlich,Haimt Yilmaz,377.09,2,58.92,leipzig,TRUE
arabisch,männlich,Ismail Hamed,377.09,2,58.92,leipzig,TRUE
deutsch,weiblich,Nina Weiss,350,2,45,magdeburg,TRUE
polnisch,weiblich,Milena Adamowicz,350,2,45,magdeburg,TRUE
türkisch,weiblich,Aylin Demirci,350,2,45,magdeburg,TRUE
deutsch,männlich,Carsten Meier,309,2,52.76,dortmund,TRUE
deutsch,männlich,Stephan Braun,448.8,2,51,nürnberg,TRUE
arabisch,männlich,Ismail Hamed,448.8,2,51,nürnberg,TRUE
italienisch,männlich,Stefano Loguercio,448.8,2,51,nürnberg,FALSE
deutsch,männlich,Stephan Braun,361.6,3,50.57,dortmund,TRUE
arabisch,männlich,Ismail Hamed,361.6,3,50.57,dortmund,TRUE
türkisch,männlich,Haimt Yilmaz,230,1.5,46,leipzig,TRUE
italienisch,männlich,Stefano Loguercio,163,1,33,leipzig,TRUE
polnisch,weiblich,Milena Adamowicz,196,1,39,leipzig,TRUE
polnisch,männlich,Mikolaj Janowski,230,1.5,46,leipzig,TRUE
deutsch,männlich,Daniel Buschle,230,1.5,46,leipzig,TRUE
türkisch,männlich,Haimt Yilmaz,230,1.5,46,leipzig,TRUE
italienisch,männlich,Stefano Loguercio,230,1.5,46,leipzig,TRUE
deutsch,männlich,Daniel Buschle,230,1.5,46,leipzig,TRUE
polnisch,männlich,Mikolaj Janowski,163,1,33,leipzig,TRUE
arabisch,männlich,Ismail Hamed,370,2,56,berlin,FALSE
deutsch,männlich,Daniel Buschle,163,1,33,leipzig,TRUE
deutsch,weiblich,Hanna Berg,196,1,39,leipzig,TRUE
deutsch,männlich,Carsten Meier,240,2,48,dresden,TRUE
deutsch,männlich,Carsten Meier,570,2,52,köln,TRUE
deutsch,männlich,Daniel Buschle,263.48,1,37.64,dresden,TRUE
deutsch,weiblich,Hanna Berg,400,2,44,frankfurt,FALSE
polnisch,männlich,Mikolaj Janowski,350,1,40,leipzig,TRUE
arabisch,männlich,Ismail Hamed,350,1,40,leipzig,TRUE
italienisch,männlich,Stefano Loguercio,263.48,1,37.64,dresden,TRUE
deutsch,männlich,Daniel Buschle,610,1,37,köln,TRUE
türkisch,männlich,Haimt Yilmaz,610,1,37,köln,TRUE
italienisch,männlich,Stefano Loguercio,610,1,37,köln,TRUE
deutsch,weiblich,Hanna Berg,400,1,30,hamburg,TRUE
polnisch,weiblich,Milena Adamowicz,420,2,60,dortmund,TRUE
türkisch,weiblich,Aylin Demirci,420,2,60,dortmund,TRUE
polnisch,weiblich,Milena Adamowicz,400,1,30,hamburg,TRUE
polnisch,weiblich,Milena Adamowicz,625,2,58.15,hamburg,TRUE
deutsch,männlich,Stephan Braun,580,2,40.85,frankfurt,FALSE
polnisch,männlich,Mikolaj Janowski,580,2,40.85,frankfurt,FALSE
polnisch,männlich,Mikolaj Janowski,290,2,48,magdeburg,TRUE
polnisch,weiblich,Milena Adamowicz,381.1,2,48.46,berlin,TRUE
deutsch,weiblich,Hanna Berg,381.1,2,48.46,berlin,TRUE
deutsch,männlich,Daniel Buschle,380,2,58,dortmund,TRUE
polnisch,männlich,Mikolaj Janowski,290,2,48,magdeburg,TRUE
italienisch,männlich,Stefano Loguercio,380,2,58,dortmund,TRUE
arabisch,männlich,Ismail Hamed,525,1,41,köln,FALSE
deutsch,männlich,Stephan Braun,525,1,41,köln,FALSE
türkisch,männlich,Haimt Yilmaz,525,1,41,köln,FALSE
deutsch,männlich,Lovis Kuhn,318,2,39,dresden,TRUE
deutsch,weiblich,Nina Weiss,306.96,2,49.51,dresden,TRUE
deutsch,männlich,Stephan Braun,320,1,40.08,dresden,TRUE
deutsch,männlich,Lovis Kuhn,320,1,40.08,dresden,TRUE
polnisch,weiblich,Milena Adamowicz,306.96,2,49.51,dresden,TRUE
italienisch,männlich,Stefano Loguercio,320,1,40.08,dresden,TRUE
arabisch,weiblich,Maryam Abedini,306.96,2,49.51,dresden,TRUE
deutsch,männlich,Carsten Meier,320,1,40.08,dresden,TRUE
arabisch,männlich,Ismail Hamed,320,1,40.08,dresden,TRUE
deutsch,männlich,Carsten Meier,318,2,39,dresden,TRUE
türkisch,weiblich,Aylin Demirci,374.94,2,53.01,berlin,TRUE
deutsch,weiblich,Nina Weiss,374.94,2,53.01,berlin,TRUE
arabisch,weiblich,Maryam Abedini,374.94,2,53.01,berlin,TRUE
italienisch,weiblich,Vittoria di Lauro,395,1,44,köln,FALSE
arabisch,weiblich,Maryam Abedini,395,1,44,köln,FALSE
deutsch,weiblich,Nina Weiss,395,1,44,köln,FALSE
italienisch,männlich,Stefano Loguercio,450,2,60,nürnberg,TRUE
arabisch,männlich,Ismail Hamed,450,2,60,nürnberg,TRUE
deutsch,männlich,Daniel Buschle,450,2,60,nürnberg,TRUE
polnisch,männlich,Mikolaj Janowski,445,1.5,36,nürnberg,TRUE
deutsch,männlich,Stephan Braun,445,1.5,36,nürnberg,TRUE
türkisch,männlich,Haimt Yilmaz,445,1.5,36,nürnberg,TRUE
arabisch,weiblich,Maryam Abedini,575,1,39.25,münchen,TRUE
arabisch,weiblich,Maryam Abedini,390,4,58,nürnberg,TRUE
türkisch,weiblich,Aylin Demirci,390,4,58,nürnberg,TRUE
deutsch,weiblich,Nina Weiss,390,4,58,nürnberg,TRUE
arabisch,männlich,Ismail Hamed,550,2,56,hamburg,TRUE
polnisch,weiblich,Milena Adamowicz,300,1,32,köln,FALSE
deutsch,weiblich,Hanna Berg,300,1,32,köln,FALSE
italienisch,weiblich,Vittoria di Lauro,450,1,35,köln,TRUE
deutsch,männlich,Stephan Braun,523,1,45,köln,TRUE
polnisch,weiblich,Milena Adamowicz,500,1,45,köln,TRUE
italienisch,männlich,Stefano Loguercio,523,1,45,köln,TRUE
deutsch,weiblich,Hanna Berg,500,1,45,köln,TRUE
polnisch,weiblich,Milena Adamowicz,450,2,50,nürnberg,TRUE
deutsch,weiblich,Nina Weiss,450,2,50,nürnberg,TRUE
deutsch,männlich,Stephan Braun,299,2,47.22,leipzig,TRUE
türkisch,männlich,Haimt Yilmaz,315.93,1,36.44,berlin,TRUE
arabisch,männlich,Ismail Hamed,315.93,1,36.44,berlin,TRUE
deutsch,männlich,Stephan Braun,315.93,1,36.44,berlin,TRUE
deutsch,weiblich,Nina Weiss,405.3,2,54.04,hamburg,TRUE
italienisch,weiblich,Vittoria di Lauro,405.3,2,54.04,hamburg,TRUE
arabisch,weiblich,Maryam Abedini,405.3,2,54.04,hamburg,FALSE
italienisch,weiblich,Vittoria di Lauro,500,1,45,köln,TRUE
polnisch,weiblich,Milena Adamowicz,625,1,32.66,frankfurt,TRUE
italienisch,männlich,Stefano Loguercio,695,1,32.66,frankfurt,TRUE
